Region,Date,Year,Month,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Gap_Unemployment %,Gap_Employed,Gap_Labour_Participation %,MoM_Unemployment_Rate_Change
Andhra Pradesh,2019-05-31,2019,5, Monthly,3.65,11999139.0,43.24,Rural,-2.44,7210478.0,5.789999999999999,
Andhra Pradesh,2019-06-30,2019,6, Monthly,3.05,11755881.0,42.05,Rural,-0.75,6931251.0,5.289999999999999,-0.6000000000000001
Andhra Pradesh,2019-07-31,2019,7, Monthly,3.75,12086707.0,43.5,Rural,-1.8899999999999997,7429264.0,7.399999999999999,0.7000000000000002
Andhra Pradesh,2019-08-31,2019,8, Monthly,3.32,12285693.0,43.97,Rural,-1.2900000000000005,7542514.0,7.68,-0.43000000000000016
Andhra Pradesh,2019-09-30,2019,9, Monthly,5.17,12256762.0,44.68,Rural,-0.8399999999999999,7522766.0,7.990000000000002,1.85
Andhra Pradesh,2019-10-31,2019,10, Monthly,3.52,12017412.0,43.01,Rural,-1.1800000000000002,7243035.0,6.600000000000001,-1.65
Andhra Pradesh,2019-11-30,2019,11, Monthly,4.12,11397681.0,41.0,Rural,-3.42,6728909.0,4.380000000000003,0.6000000000000001
Andhra Pradesh,2019-12-31,2019,12, Monthly,4.38,12528395.0,45.14,Rural,-3.5,7614432.0,6.530000000000001,0.2599999999999998
Andhra Pradesh,2020-01-31,2020,1, Monthly,4.84,12016676.0,43.46,Rural,-2.2700000000000005,7397816.0,7.550000000000004,0.45999999999999996
Andhra Pradesh,2020-02-29,2020,2, Monthly,5.91,11723617.0,42.83,Rural,0.25,6901582.0,5.989999999999995,1.0700000000000003
Andhra Pradesh,2020-03-31,2020,3, Monthly,4.06,11359660.0,40.66,Rural,-5.820000000000001,6838123.0,4.579999999999998,-1.8500000000000005
Andhra Pradesh,2020-04-30,2020,4, Monthly,16.29,8792827.0,36.03,Rural,-16.009999999999998,6248743.0,9.060000000000002,12.23
Andhra Pradesh,2020-05-31,2020,5, Monthly,14.46,9526902.0,38.16,Rural,-10.45,6098546.0,5.469999999999999,-1.8299999999999983
Andhra Pradesh,2020-06-30,2020,6, Monthly,0.85,15572975.0,53.76,Rural,-5.010000000000001,10618586.0,16.15,-13.610000000000001
Assam,2019-05-31,2019,5, Monthly,4.29,11749334.0,57.39,Rural,-3.58,10077627.0,12.469999999999999,
Assam,2019-06-30,2019,6, Monthly,5.08,8923222.0,43.87,Rural,-4.8100000000000005,7275880.0,-1.3000000000000043,0.79
Assam,2019-07-31,2019,7, Monthly,4.26,9911534.0,48.21,Rural,1.0499999999999998,8171696.0,3.8900000000000006,-0.8200000000000003
Assam,2019-08-31,2019,8, Monthly,5.79,9292039.0,45.83,Rural,-4.6000000000000005,7696457.0,2.019999999999996,1.5300000000000002
Assam,2019-09-30,2019,9, Monthly,4.46,11468349.0,55.67,Rural,-4.8,9891869.0,13.010000000000005,-1.33
Assam,2019-10-31,2019,10, Monthly,4.65,8395906.0,40.76,Rural,-6.52,6800730.0,-3.25,0.1900000000000004
Assam,2019-11-30,2019,11, Monthly,4.66,9625362.0,46.64,Rural,-1.6499999999999995,7917317.0,2.049999999999997,0.009999999999999787
Assam,2020-01-31,2020,1, Monthly,4.29,11420996.0,54.9,Rural,-2.95,9790088.0,12.079999999999998,-0.3700000000000001
Assam,2020-02-29,2020,2, Monthly,3.26,8462814.0,40.17,Rural,-6.720000000000001,6837360.0,-3.729999999999997,-1.0300000000000002
Assam,2020-03-31,2020,3, Monthly,3.77,9878742.0,47.05,Rural,-6.57,8214597.0,2.019999999999996,0.5100000000000002
Assam,2020-05-31,2020,5, Monthly,9.38,9926176.0,50.0,Rural,-1.3899999999999988,8484454.0,10.96,5.610000000000001
Assam,2020-06-30,2020,6, Monthly,0.0,7544937.0,34.38,Rural,-3.42,5993930.0,-4.349999999999994,-9.38
Bihar,2019-05-31,2019,5, Monthly,9.27,24322330.0,39.75,Rural,-10.629999999999999,21292986.0,-0.04999999999999716,
Bihar,2019-06-30,2019,6, Monthly,10.2,24097712.0,39.71,Rural,-3.09,20848848.0,0.35999999999999943,0.9299999999999997
Bihar,2019-07-31,2019,7, Monthly,13.44,23248875.0,39.66,Rural,-2.9700000000000006,20189131.0,1.2999999999999972,3.24
Bihar,2019-08-31,2019,8, Monthly,11.0,22260203.0,36.85,Rural,-6.66,19265440.0,-1.1799999999999997,-2.4399999999999995
Bihar,2019-09-30,2019,9, Monthly,8.87,23905700.0,38.57,Rural,-11.590000000000002,20913618.0,-0.6799999999999997,-2.130000000000001
Bihar,2019-10-31,2019,10, Monthly,12.47,24053140.0,40.31,Rural,-1.5899999999999999,20879711.0,1.8599999999999994,3.6000000000000014
Bihar,2019-11-30,2019,11, Monthly,12.4,22445989.0,37.51,Rural,-5.220000000000001,19364912.0,-1.3500000000000014,-0.07000000000000028
Bihar,2019-12-31,2019,12, Monthly,10.16,22914530.0,37.25,Rural,-4.75,19936673.0,0.9600000000000009,-2.24
Bihar,2020-01-31,2020,1, Monthly,9.13,23409006.0,37.54,Rural,-11.56,20420341.0,-1.4500000000000028,-1.0299999999999994
Bihar,2020-02-29,2020,2, Monthly,9.61,23168192.0,37.28,Rural,-5.5,20054728.0,-0.5899999999999963,0.47999999999999865
Bihar,2020-03-31,2020,3, Monthly,15.39,22667882.0,38.88,Rural,-0.33999999999999986,19618245.0,1.5900000000000034,5.780000000000001
Bihar,2020-04-30,2020,4, Monthly,45.09,14645275.0,38.63,Rural,-13.68,13244313.0,3.690000000000005,29.700000000000003
Bihar,2020-05-31,2020,5, Monthly,47.26,14050319.0,38.5,Rural,9.39,11843293.0,2.049999999999997,2.1699999999999946
Bihar,2020-06-30,2020,6, Monthly,20.49,20622566.0,37.4,Rural,8.04,17497903.0,0.8599999999999994,-26.77
Chhattisgarh,2019-05-31,2019,5, Monthly,9.82,6259019.0,42.89,Rural,0.05000000000000071,4035890.0,-2.719999999999999,
Chhattisgarh,2019-06-30,2019,6, Monthly,6.76,6608626.0,43.71,Rural,-5.01,4416606.0,-2.1700000000000017,-3.0600000000000005
Chhattisgarh,2019-07-31,2019,7, Monthly,4.54,6753622.0,43.53,Rural,-3.63,4468186.0,-2.3200000000000003,-2.2199999999999998
Chhattisgarh,2019-08-31,2019,8, Monthly,4.64,6607694.0,42.55,Rural,-1.6500000000000004,4215294.0,-4.359999999999999,0.09999999999999964
Chhattisgarh,2019-09-30,2019,9, Monthly,8.33,6490776.0,43.38,Rural,-1.1300000000000008,4179269.0,-3.4199999999999946,3.6900000000000004
Chhattisgarh,2019-10-31,2019,10, Monthly,6.96,7043840.0,46.28,Rural,-3.3099999999999996,4746744.0,-0.5399999999999991,-1.37
Chhattisgarh,2019-11-30,2019,11, Monthly,2.77,6942931.0,43.56,Rural,-5.550000000000001,4601647.0,-3.030000000000001,-4.1899999999999995
Chhattisgarh,2019-12-31,2019,12, Monthly,6.11,6569385.0,42.59,Rural,2.5400000000000005,4153949.0,-3.0,3.3400000000000003
Chhattisgarh,2020-01-31,2020,1, Monthly,9.89,6236201.0,42.03,Rural,0.8800000000000008,3920229.0,-4.18,3.7800000000000002
Chhattisgarh,2020-02-29,2020,2, Monthly,7.89,6847173.0,45.05,Rural,-1.8999999999999995,4499232.0,-2.0900000000000034,-2.000000000000001
Chhattisgarh,2020-03-31,2020,3, Monthly,7.31,6894808.0,44.98,Rural,-0.9000000000000012,4487299.0,-2.4100000000000037,-0.5800000000000001
Chhattisgarh,2020-04-30,2020,4, Monthly,0.0,6534321.0,39.43,Rural,-20.13,5468195.0,15.370000000000001,-7.31
Chhattisgarh,2020-05-31,2020,5, Monthly,7.64,5454091.0,35.56,Rural,-16.46,4177800.0,5.320000000000004,7.64
Chhattisgarh,2020-06-30,2020,6, Monthly,10.14,5781095.0,38.66,Rural,-16.93,4178864.0,-0.75,2.500000000000001
Delhi,2019-05-31,2019,5, Monthly,12.56,169487.0,42.33,Rural,0.25,-5586988.0,-1.8400000000000034,
Delhi,2019-06-30,2019,6, Monthly,9.33,149076.0,35.74,Rural,-3.4299999999999997,-5401096.0,-6.969999999999999,-3.2300000000000004
Delhi,2019-07-31,2019,7, Monthly,11.07,166605.0,40.53,Rural,-3.6099999999999994,-5226486.0,-1.8100000000000023,1.7400000000000002
Delhi,2019-08-31,2019,8, Monthly,17.18,135407.0,35.21,Rural,3.66,-5417103.0,-7.689999999999998,6.109999999999999
Delhi,2019-09-30,2019,9, Monthly,12.5,166056.0,40.68,Rural,-8.09,-5476197.0,-6.68,-4.68
Delhi,2019-10-31,2019,10, Monthly,15.84,149511.0,37.9,Rural,3.4299999999999997,-5880852.0,-7.880000000000003,3.34
Delhi,2019-11-30,2019,11, Monthly,11.11,178768.0,42.71,Rural,-5.0,-5260832.0,-0.3100000000000023,-4.73
Delhi,2019-12-31,2019,12, Monthly,16.97,145671.0,37.08,Rural,5.899999999999999,-5572666.0,-5.480000000000004,5.859999999999999
Delhi,2020-01-31,2020,1, Monthly,13.48,157791.0,38.36,Rural,-8.969999999999999,-5489702.0,-9.730000000000004,-3.4899999999999984
Delhi,2020-02-29,2020,2, Monthly,13.81,147500.0,35.84,Rural,-1.049999999999999,-5561307.0,-8.339999999999996,0.33000000000000007
Delhi,2020-03-31,2020,3, Monthly,15.18,152413.0,37.45,Rural,-1.9100000000000001,-5248979.0,-5.369999999999997,1.3699999999999992
Delhi,2020-04-30,2020,4, Monthly,20.69,115487.0,30.21,Rural,4.18,-2888300.0,6.620000000000001,5.510000000000002
Delhi,2020-05-31,2020,5, Monthly,22.76,129610.0,34.65,Rural,-23.02,-2214173.0,6.369999999999997,2.0700000000000003
Delhi,2020-06-30,2020,6, Monthly,21.14,112108.0,29.22,Rural,3.030000000000001,-4194699.0,-5.100000000000001,-1.620000000000001
Goa,2019-05-31,2019,5, Monthly,2.91,179340.0,39.16,Rural,0.16000000000000014,-85515.0,4.989999999999995,
Goa,2019-06-30,2019,6, Monthly,5.45,170471.0,38.19,Rural,-7.88,-133544.0,-5.770000000000003,2.54
Goa,2019-07-31,2019,7, Monthly,10.98,167437.0,39.81,Rural,-1.299999999999999,-112930.0,-0.18999999999999773,5.53
Goa,2019-08-31,2019,8, Monthly,1.98,183603.0,39.61,Rural,-2.9200000000000004,-59674.0,7.640000000000001,-9.0
Goa,2019-09-30,2019,9, Monthly,3.61,163215.0,35.78,Rural,0.44999999999999973,-146428.0,-4.140000000000001,1.63
Goa,2019-10-31,2019,10, Monthly,7.21,177440.0,40.36,Rural,-5.1000000000000005,-112824.0,-0.9100000000000037,3.6
Goa,2019-11-30,2019,11, Monthly,23.71,159489.0,44.09,Rural,-1.4899999999999984,-112123.0,-1.1299999999999955,16.5
Goa,2019-12-31,2019,12, Monthly,3.54,177155.0,38.7,Rural,-12.68,-110999.0,-4.07,-20.17
Goa,2020-01-31,2020,1, Monthly,5.38,158936.0,35.36,Rural,-5.54,-98878.0,-0.5900000000000034,1.8399999999999999
Goa,2020-02-29,2020,2, Monthly,0.0,171672.0,36.11,Rural,-4.31,-134724.0,-3.6199999999999974,-5.38
Goa,2020-04-30,2020,4, Monthly,15.91,181657.0,45.36,Rural,4.15,-137300.0,0.6199999999999974,15.91
Goa,2020-05-31,2020,5, Monthly,20.0,128538.0,33.71,Rural,,,,4.09
Gujarat,2019-05-31,2019,5, Monthly,2.88,13954728.0,52.03,Rural,-1.21,4268170.0,10.36,
Gujarat,2019-06-30,2019,6, Monthly,4.77,13199281.0,50.12,Rural,-1.54,3054316.0,5.549999999999997,1.8899999999999997
Gujarat,2019-07-31,2019,7, Monthly,4.58,14327083.0,54.21,Rural,-0.5700000000000003,4499060.0,11.670000000000002,-0.1899999999999995
Gujarat,2019-08-31,2019,8, Monthly,3.7,13507342.0,50.57,Rural,-0.5,3279188.0,6.850000000000001,-0.8799999999999999
Gujarat,2019-09-30,2019,9, Monthly,6.29,13280783.0,51.01,Rural,0.33000000000000007,3670844.0,9.259999999999998,2.59
Gujarat,2019-10-31,2019,10, Monthly,4.91,13828512.0,52.27,Rural,-0.54,3354295.0,7.130000000000003,-1.38
Gujarat,2019-11-30,2019,11, Monthly,4.68,14487815.0,54.55,Rural,-2.8500000000000005,4591686.0,11.049999999999997,-0.23000000000000043
Gujarat,2019-12-31,2019,12, Monthly,3.46,13877825.0,51.51,Rural,-2.25,3705013.0,7.759999999999998,-1.2199999999999998
Gujarat,2020-01-31,2020,1, Monthly,5.35,14301844.0,54.07,Rural,-0.47000000000000064,4477343.0,11.880000000000003,1.8899999999999997
Gujarat,2020-02-29,2020,2, Monthly,6.64,13973042.0,53.48,Rural,0.5999999999999996,3188289.0,7.169999999999995,1.29
